satID,Second,Data Bits Generated,Data Bits Generated.1
403,731,True,0
513,731,True,0
514,731,True,0
515,731,True,0
303,732,True,0
304,732,True,0
401,732,True,0
402,732,True,0
403,732,True,0
513,732,True,0
514,732,True,0
515,732,True,0
303,733,True,0
304,733,True,0
401,733,True,0
402,733,True,0
403,733,True,0
513,733,True,0
514,733,True,0
515,733,True,0
303,734,True,0
304,734,True,0
401,734,True,0
402,734,True,0
403,734,True,0
513,734,True,0
514,734,True,0
515,734,True,0
303,735,True,0
304,735,True,0
401,735,True,0
402,735,True,0
403,735,True,0
513,735,True,0
514,735,True,0
515,735,True,0
303,736,True,0
304,736,True,0
401,736,True,0
402,736,True,0
403,736,True,0
513,736,True,0
514,736,True,0
515,736,True,0
303,737,True,0
304,737,True,0
401,737,True,0
402,737,True,0
403,737,True,0
513,737,True,0
514,737,True,0
515,737,True,0
303,738,True,0
304,738,True,0
401,738,True,0
402,738,True,0
403,738,True,0
513,738,True,0
514,738,True,0
515,738,True,0
303,739,True,0
304,739,True,0
401,739,True,0
402,739,True,0
403,739,True,0
513,739,True,0
514,739,True,0
515,739,True,0
303,740,True,0
304,740,True,0
401,740,True,0
402,740,True,0
403,740,True,0
513,740,True,0
514,740,True,0
515,740,True,0
303,741,True,0
304,741,True,0
401,741,True,0
402,741,True,0
403,741,True,0
513,741,True,0
514,741,True,0
515,741,True,0
303,742,True,0
304,742,True,0
401,742,True,0
402,742,True,0
403,742,True,0
513,742,True,0
514,742,True,0
515,742,True,0
303,743,True,0
304,743,True,0
401,743,True,0
402,743,True,0
403,743,True,0
513,743,True,0
514,743,True,0
515,743,True,0
303,744,True,0
304,744,True,0
401,744,True,0
402,744,True,0
403,744,True,0
513,744,True,0
514,744,True,0
515,744,True,0
303,745,True,0
304,745,True,0
401,745,True,0
402,745,True,0
403,745,True,0
513,745,True,0
514,745,True,0
515,745,True,0
303,746,True,0
304,746,True,0
401,746,True,0
402,746,True,0
403,746,True,0
513,746,True,0
514,746,True,0
515,746,True,0
303,747,True,0
304,747,True,0
401,747,True,0
402,747,True,0
403,747,True,0
513,747,True,0
514,747,True,0
515,747,True,0
303,748,True,0
304,748,True,0
401,748,True,0
402,748,True,0
403,748,True,0
513,748,True,0
514,748,True,0
515,748,True,0
303,749,True,0
304,749,True,0
401,749,True,0
402,749,True,0
403,749,True,0
513,749,True,0
514,749,True,0
515,749,True,0
303,750,True,0
304,750,True,0
401,750,True,0
402,750,True,0
403,750,True,0
513,750,True,0
514,750,True,0
515,750,True,0
303,751,True,0
304,751,True,0
401,751,True,0
402,751,True,0
403,751,True,0
513,751,True,0
514,751,True,0
515,751,True,0
303,752,True,0
304,752,True,0
401,752,True,0
402,752,True,0
403,752,True,0
513,752,True,0
514,752,True,0
515,752,True,0
303,753,True,0
304,753,True,0
401,753,True,0
402,753,True,0
403,753,True,0
513,753,True,0
514,753,True,0
515,753,True,0
303,754,True,0
304,754,True,0
401,754,True,0
402,754,True,0
403,754,True,0
513,754,True,0
514,754,True,0
515,754,True,0
303,755,True,0
304,755,True,0
401,755,True,0
402,755,True,0
403,755,True,0
513,755,True,0
514,755,True,0
515,755,True,0
303,756,True,0
304,756,True,0
401,756,True,0
402,756,True,0
403,756,True,0
513,756,True,0
514,756,True,0
515,756,True,0
303,757,True,0
304,757,True,0
401,757,True,0
402,757,True,0
403,757,True,0
513,757,True,0
514,757,True,0
515,757,True,0
303,758,True,0
304,758,True,0
401,758,True,0
402,758,True,0
403,758,True,0
513,758,True,0
514,758,True,0
515,758,True,0
303,759,True,0
304,759,True,0
401,759,True,0
402,759,True,0
403,759,True,0
513,759,True,0
514,759,True,0
515,759,True,0
303,760,True,0
304,760,True,0
401,760,True,0
402,760,True,0
403,760,True,0
513,760,True,0
514,760,True,0
515,760,True,0
303,761,True,0
304,761,True,0
401,761,True,0
402,761,True,0
403,761,True,0
513,761,True,0
514,761,True,0
515,761,True,0
303,762,True,27360
304,762,True,209760
401,762,True,209760
402,762,True,0
403,762,True,0
513,762,True,209760
514,762,True,209760
515,762,True,0
303,763,True,63840
304,763,True,419520
401,763,True,633840
402,763,True,214320
403,763,True,0
513,763,True,419520
514,763,True,633840
515,763,True,0
303,764,True,0
304,764,True,0
401,764,True,437760
402,764,True,437760
403,764,True,0
513,764,True,0
514,764,True,437760
515,764,True,0
303,765,True,0
304,765,True,0
401,765,True,0
402,765,True,0
403,765,True,0
513,765,True,0
514,765,True,0
515,765,True,0
303,766,True,0
304,766,True,0
401,766,True,0
402,766,True,0
403,766,True,0
513,766,True,0
514,766,True,0
515,766,True,0
303,767,True,50160
304,767,True,223440
401,767,True,223440
402,767,True,0
403,767,True,0
513,767,True,223440
514,767,True,223440
515,767,True,0
303,768,True,109440
304,768,True,437760
401,768,True,875520
402,768,True,437760
403,768,True,0
513,768,True,437760
514,768,True,875520
515,768,True,0
303,769,True,0
304,769,True,0
401,769,True,0
402,769,True,0
403,769,True,0
513,769,True,0
514,769,True,0
515,769,True,0
303,770,True,0
304,770,True,0
