satID,Second,Data Bits Generated,Data Bits Generated
513,671,TRUE,0
514,671,TRUE,0
515,671,TRUE,0
109,672,TRUE,0
110,672,TRUE,0
111,672,TRUE,0
207,672,TRUE,0
208,672,TRUE,0
209,672,TRUE,0
303,672,TRUE,0
304,672,TRUE,0
306,672,TRUE,0
401,672,TRUE,0
402,672,TRUE,223440
403,672,TRUE,0
513,672,TRUE,0
514,672,TRUE,223440
515,672,TRUE,223440
109,673,TRUE,0
110,673,TRUE,0
111,673,TRUE,0
207,673,TRUE,0
208,673,TRUE,0
209,673,TRUE,0
303,673,TRUE,0
304,673,TRUE,0
306,673,TRUE,0
401,673,TRUE,0
402,673,TRUE,0
403,673,TRUE,0
513,673,TRUE,0
514,673,TRUE,0
515,673,TRUE,0
109,674,TRUE,0
110,674,TRUE,0
111,674,TRUE,0
207,674,TRUE,0
208,674,TRUE,0
209,674,TRUE,0
303,674,TRUE,0
304,674,TRUE,0
306,674,TRUE,0
401,674,TRUE,0
402,674,TRUE,0
403,674,TRUE,0
513,674,TRUE,0
514,674,TRUE,0
515,674,TRUE,0
109,675,TRUE,0
110,675,TRUE,0
111,675,TRUE,0
207,675,TRUE,0
208,675,TRUE,0
209,675,TRUE,0
303,675,TRUE,0
304,675,TRUE,0
306,675,TRUE,0
401,675,TRUE,0
402,675,TRUE,0
403,675,TRUE,0
513,675,TRUE,0
514,675,TRUE,0
515,675,TRUE,0
109,676,TRUE,0
110,676,TRUE,205200
111,676,TRUE,205200
207,676,TRUE,0
208,676,TRUE,205200
209,676,TRUE,205200
303,676,TRUE,0
304,676,TRUE,0
306,676,TRUE,0
401,676,TRUE,0
402,676,TRUE,0
403,676,TRUE,0
513,676,TRUE,0
514,676,TRUE,0
515,676,TRUE,0
109,677,TRUE,0
110,677,TRUE,0
111,677,TRUE,0
207,677,TRUE,0
208,677,TRUE,0
209,677,TRUE,0
303,677,TRUE,0
304,677,TRUE,0
306,677,TRUE,0
401,677,TRUE,0
402,677,TRUE,0
403,677,TRUE,0
513,677,TRUE,0
514,677,TRUE,0
515,677,TRUE,0
109,678,TRUE,0
110,678,TRUE,0
111,678,TRUE,0
207,678,TRUE,0
208,678,TRUE,0
209,678,TRUE,0
303,678,TRUE,0
304,678,TRUE,0
306,678,TRUE,0
401,678,TRUE,0
402,678,TRUE,0
403,678,TRUE,0
513,678,TRUE,0
514,678,TRUE,0
515,678,TRUE,0
109,679,TRUE,0
110,679,TRUE,214320
111,679,TRUE,214320
207,679,TRUE,0
208,679,TRUE,214320
209,679,TRUE,214320
303,679,TRUE,0
304,679,TRUE,0
306,679,TRUE,0
401,679,TRUE,0
402,679,TRUE,0
403,679,TRUE,0
513,679,TRUE,0
514,679,TRUE,0
515,679,TRUE,0
109,680,TRUE,0
110,680,TRUE,0
111,680,TRUE,0
207,680,TRUE,0
208,680,TRUE,0
209,680,TRUE,0
303,680,TRUE,0
304,680,TRUE,0
306,680,TRUE,0
401,680,TRUE,0
402,680,TRUE,0
403,680,TRUE,0
513,680,TRUE,0
514,680,TRUE,0
515,680,TRUE,0
109,681,TRUE,0
110,681,TRUE,0
111,681,TRUE,0
207,681,TRUE,0
208,681,TRUE,0
209,681,TRUE,0
303,681,TRUE,0
304,681,TRUE,0
306,681,TRUE,0
401,681,TRUE,0
402,681,TRUE,0
403,681,TRUE,0
513,681,TRUE,0
514,681,TRUE,0
515,681,TRUE,0
109,682,TRUE,0
110,682,TRUE,428640
111,682,TRUE,428640
207,682,TRUE,0
208,682,TRUE,428640
209,682,TRUE,428640
303,682,TRUE,0
304,682,TRUE,0
306,682,TRUE,0
401,682,TRUE,0
402,682,TRUE,0
403,682,TRUE,0
513,682,TRUE,0
514,682,TRUE,0
515,682,TRUE,0
109,683,TRUE,0
110,683,TRUE,0
111,683,TRUE,0
207,683,TRUE,0
208,683,TRUE,0
209,683,TRUE,0
303,683,TRUE,0
304,683,TRUE,0
306,683,TRUE,0
401,683,TRUE,0
402,683,TRUE,0
403,683,TRUE,0
513,683,TRUE,0
514,683,TRUE,0
515,683,TRUE,0
109,684,TRUE,0
110,684,TRUE,223440
111,684,TRUE,223440
207,684,TRUE,0
208,684,TRUE,223440
209,684,TRUE,223440
303,684,TRUE,0
304,684,TRUE,0
306,684,TRUE,0
401,684,TRUE,0
402,684,TRUE,0
403,684,TRUE,0
513,684,TRUE,0
514,684,TRUE,0
515,684,TRUE,0
109,685,TRUE,0
110,685,TRUE,0
111,685,TRUE,0
207,685,TRUE,0
208,685,TRUE,0
209,685,TRUE,0
303,685,TRUE,0
304,685,TRUE,0
306,685,TRUE,0
401,685,TRUE,0
402,685,TRUE,218880
403,685,TRUE,0
513,685,TRUE,0
514,685,TRUE,218880
515,685,TRUE,218880
109,686,TRUE,0
110,686,TRUE,0
111,686,TRUE,0
207,686,TRUE,0
208,686,TRUE,0
209,686,TRUE,0
303,686,TRUE,0
304,686,TRUE,218880
306,686,TRUE,0
401,686,TRUE,218880
402,686,TRUE,437760
403,686,TRUE,0
513,686,TRUE,0
514,686,TRUE,437760
515,686,TRUE,218880
109,687,TRUE,0
110,687,TRUE,0
111,687,TRUE,0
207,687,TRUE,0
208,687,TRUE,0
209,687,TRUE,0
303,687,TRUE,0
304,687,TRUE,0
306,687,TRUE,0
401,687,TRUE,214320
402,687,TRUE,214320
403,687,TRUE,0
513,687,TRUE,0
514,687,TRUE,214320
515,687,TRUE,0
109,688,TRUE,0
110,688,TRUE,223440
111,688,TRUE,223440
207,688,TRUE,0
208,688,TRUE,223440
209,688,TRUE,223440
303,688,TRUE,0
304,688,TRUE,214320
306,688,TRUE,0
401,688,TRUE,214320
402,688,TRUE,442320
403,688,TRUE,0
513,688,TRUE,0
514,688,TRUE,442320
515,688,TRUE,228000
109,689,TRUE,0
110,689,TRUE,0
111,689,TRUE,0
207,689,TRUE,0
208,689,TRUE,0
209,689,TRUE,0
303,689,TRUE,0
304,689,TRUE,228000
306,689,TRUE,0
401,689,TRUE,661200
402,689,TRUE,1094400
403,689,TRUE,0
513,689,TRUE,0
514,689,TRUE,1094400
515,689,TRUE,433200
109,690,TRUE,0
110,690,TRUE,0
111,690,TRUE,0
207,690,TRUE,0
